港口,货物,年份,月份,吞吐量
杭州港,小牛,2020,12,2220
杭州港,小牛,2021,1,1305
杭州港,小牛,2021,2,1518
杭州港,小牛,2021,3,1308
杭州港,小牛,2021,4,1980
杭州港,小牛,2021,5,1216
杭州港,小牛,2021,6,2521
杭州港,小牛,2021,7,2916
杭州港,小牛,2021,8,1724
杭州港,小牛,2021,9,1680
杭州港,小牛,2021,10,2506
杭州港,小牛,2021,11,1824
杭州港,小牛,2021,12,2320
杭州港,小牛,2022,1,2030
杭州港,小牛,2022,2,1723
杭州港,小牛,2022,3,1576
杭州港,小牛,2022,4,2424
杭州港,小牛,2022,5,1581
杭州港,小牛,2022,6,1885
杭州港,小牛,2022,7,1100
杭州港,小牛,2022,8,327
杭州港,小牛,2022,9,1075
杭州港,小牛,2022,10,711
杭州港,小牛,2022,11,1320
杭州港,小牛,2022,12,1461
杭州港,小麦,2019,12,290
杭州港,小麦,2020,1,2074
杭州港,小麦,2020,2,2258
杭州港,小麦,2020,3,301
杭州港,小麦,2020,4,1804
杭州港,小麦,2020,5,2813
杭州港,小麦,2020,6,1718
杭州港,小麦,2020,7,1206
杭州港,小麦,2020,8,4466
杭州港,小麦,2020,9,2322
杭州港,小麦,2020,10,3242
杭州港,小麦,2020,11,2064
杭州港,小麦,2020,12,2097
杭州港,小麦,2021,1,2100
杭州港,小麦,2021,2,1457
杭州港,小麦,2021,3,1477
杭州港,小麦,2021,4,2460
杭州港,小麦,2021,5,2165
杭州港,小麦,2021,6,2221
杭州港,小麦,2021,7,991
杭州港,小麦,2021,8,4482
杭州港,小麦,2021,9,1411
杭州港,小麦,2021,10,1318
杭州港,小麦,2021,11,3107
杭州港,小麦,2021,12,868
杭州港,小麦,2022,1,1786
杭州港,小麦,2022,2,959
杭州港,小麦,2022,3,1804
杭州港,小麦,2022,4,1216
杭州港,小麦,2022,5,1023
杭州港,小麦,2022,6,2271
杭州港,小麦,2022,7,1323
杭州港,小麦,2022,8,1174
杭州港,小麦,2022,9,2300
杭州港,小麦,2022,10,1213
杭州港,小麦,2022,11,2484
杭州港,小麦,2022,12,2768
杭州港,木材,2020,1,2380
杭州港,木材,2020,2,2518
杭州港,木材,2020,3,1037
杭州港,木材,2020,4,2007
杭州港,木材,2020,5,2212
杭州港,木材,2020,6,1116
杭州港,木材,2020,7,890
杭州港,木材,2020,8,996
杭州港,木材,2020,9,2322
杭州港,木材,2020,10,3178
杭州港,木材,2020,11,1474
杭州港,木材,2020,12,2483
杭州港,木材,2021,1,2054
杭州港,木材,2021,2,1291
杭州港,木材,2021,3,2280
杭州港,木材,2021,4,1208
杭州港,木材,2021,5,2575
杭州港,木材,2021,6,1951
杭州港,木材,2021,7,2071
杭州港,木材,2021,8,2733
杭州港,木材,2021,9,1860
杭州港,木材,2021,10,2514
杭州港,木材,2021,11,2903
杭州港,木材,2021,12,2154
杭州港,木材,2022,1,688
杭州港,木材,2022,2,4122
杭州港,木材,2022,3,2128
杭州港,木材,2022,4,1634
杭州港,木材,2022,5,1146
杭州港,木材,2022,6,1174
杭州港,木材,2022,7,2779
杭州港,木材,2022,8,2192
杭州港,木材,2022,9,3421
杭州港,木材,2022,10,1891
杭州港,木材,2022,11,1321
杭州港,木材,2022,12,479
杭州港,水泥,2019,12,180
杭州港,水泥,2020,1,2594
杭州港,水泥,2020,2,1581
杭州港,水泥,2020,3,3183
杭州港,水泥,2020,4,1751
杭州港,水泥,2020,5,1720
杭州港,水泥,2020,6,3717
杭州港,水泥,2020,7,2124
杭州港,水泥,2020,8,1157
杭州港,水泥,2020,9,1130
杭州港,水泥,2020,10,986
杭州港,水泥,2020,11,3244
杭州港,水泥,2020,12,4149
杭州港,水泥,2021,1,1522
杭州港,水泥,2021,2,763
杭州港,水泥,2021,3,3328
杭州港,水泥,2021,4,1919
杭州港,水泥,2021,5,2125
杭州港,水泥,2021,6,3466
杭州港,水泥,2021,7,631
杭州港,水泥,2021,8,1564
杭州港,水泥,2021,9,1654
杭州港,水泥,2021,10,2292
杭州港,水泥,2021,11,2811
杭州港,水泥,2021,12,529
杭州港,水泥,2022,1,946
杭州港,水泥,2022,2,1925
杭州港,水泥,2022,3,1164
杭州港,水泥,2022,4,656
杭州港,水泥,2022,5,2454
杭州港,水泥,2022,6,1358
杭州港,水泥,2022,7,2420
杭州港,水泥,2022,8,2336
杭州港,水泥,2022,9,1842
杭州港,水泥,2022,10,1704
杭州港,水泥,2022,11,1792
杭州港,水泥,2022,12,986
杭州港,活牛,2020,1,2838
杭州港,活牛,2020,2,1430
杭州港,活牛,2020,3,1091
杭州港,活牛,2020,4,3624
杭州港,活牛,2020,5,2584
杭州港,活牛,2020,6,2983
杭州港,活牛,2020,7,967
杭州港,活牛,2020,8,2704
杭州港,活牛,2020,9,1291
杭州港,活牛,2020,10,1877
杭州港,活牛,2020,11,1470
杭州港,活牛,2020,12,2666
杭州港,活牛,2021,1,2061
杭州港,活牛,2021,2,2495
杭州港,活牛,2021,3,2351
杭州港,活牛,2021,4,972
杭州港,活牛,2021,5,2868
杭州港,活牛,2021,6,1386
杭州港,活牛,2021,7,2269
杭州港,活牛,2021,8,4043
杭州港,活牛,2021,9,1918
杭州港,活牛,2021,10,1852
杭州港,活牛,2021,11,3953
杭州港,活牛,2021,12,1092
杭州港,活牛,2022,1,2819
杭州港,活牛,2022,2,1102
杭州港,活牛,2022,3,1795
杭州港,活牛,2022,4,1906
杭州港,活牛,2022,5,406
杭州港,活牛,2022,6,1148
杭州港,活牛,2022,7,1401
杭州港,活牛,2022,8,1264
杭州港,活牛,2022,9,1640
杭州港,活牛,2022,10,1933
杭州港,活牛,2022,11,2145
杭州港,活牛,2022,12,1428
杭州港,活猪,2019,12,438
杭州港,活猪,2020,1,666
杭州港,活猪,2020,2,2267
杭州港,活猪,2020,3,1095
杭州港,活猪,2020,4,2788
杭州港,活猪,2020,5,2107
杭州港,活猪,2020,6,2574
杭州港,活猪,2020,7,2992
杭州港,活猪,2020,8,896
杭州港,活猪,2020,9,2626
杭州港,活猪,2020,10,3435
杭州港,活猪,2020,11,692
杭州港,活猪,2020,12,1593
杭州港,活猪,2021,1,1133
杭州港,活猪,2021,2,2205
杭州港,活猪,2021,3,1755
杭州港,活猪,2021,4,596
杭州港,活猪,2021,5,3189
杭州港,活猪,2021,6,2816
杭州港,活猪,2021,7,2782
杭州港,活猪,2021,8,1629
杭州港,活猪,2021,9,1262
杭州港,活猪,2021,10,1617
杭州港,活猪,2021,11,1650
杭州港,活猪,2021,12,2377
杭州港,活猪,2022,1,1558
杭州港,活猪,2022,2,287
杭州港,活猪,2022,3,1630
杭州港,活猪,2022,4,346
杭州港,活猪,2022,5,1937
杭州港,活猪,2022,6,1647
杭州港,活猪,2022,7,2384
杭州港,活猪,2022,8,1761
杭州港,活猪,2022,9,2051
杭州港,活猪,2022,10,1999
杭州港,活猪,2022,11,1412
杭州港,活猪,2022,12,1417
杭州港,燕麦,2020,1,3533
杭州港,燕麦,2020,2,3149
杭州港,燕麦,2020,3,2067
杭州港,燕麦,2020,4,746
杭州港,燕麦,2020,5,3011
杭州港,燕麦,2020,6,2308
杭州港,燕麦,2020,7,2500
杭州港,燕麦,2020,8,1298
杭州港,燕麦,2020,9,2206
杭州港,燕麦,2020,10,2684
杭州港,燕麦,2020,11,1600
杭州港,燕麦,2020,12,2454
杭州港,燕麦,2021,1,2831
杭州港,燕麦,2021,2,1370
杭州港,燕麦,2021,3,3410
杭州港,燕麦,2021,4,1269
杭州港,燕麦,2021,5,972
杭州港,燕麦,2021,6,3432
杭州港,燕麦,2021,7,1961
杭州港,燕麦,2021,8,2201
杭州港,燕麦,2021,9,1093
杭州港,燕麦,2021,10,2799
杭州港,燕麦,2021,11,1623
杭州港,燕麦,2021,12,2107
杭州港,燕麦,2022,1,1908
杭州港,燕麦,2022,2,3005
杭州港,燕麦,2022,3,610
杭州港,燕麦,2022,4,1936
杭州港,燕麦,2022,5,1877
杭州港,燕麦,2022,6,1210
杭州港,燕麦,2022,7,2141
杭州港,燕麦,2022,8,1091
杭州港,燕麦,2022,9,1344
杭州港,燕麦,2022,10,2086
杭州港,燕麦,2022,11,590
杭州港,燕麦,2022,12,1150
杭州港,猪腩,2020,1,2966
杭州港,猪腩,2020,2,1209
杭州港,猪腩,2020,3,1691
杭州港,猪腩,2020,4,2818
杭州港,猪腩,2020,5,3239
杭州港,猪腩,2020,6,2906
杭州港,猪腩,2020,7,2061
杭州港,猪腩,2020,8,3231
杭州港,猪腩,2020,9,891
杭州港,猪腩,2020,10,876
杭州港,猪腩,2020,11,3447
杭州港,猪腩,2020,12,2793
杭州港,猪腩,2021,1,2934
杭州港,猪腩,2021,2,1908
杭州港,猪腩,2021,3,2143
杭州港,猪腩,2021,4,3415
杭州港,猪腩,2021,5,2545
杭州港,猪腩,2021,6,655
杭州港,猪腩,2021,7,2794
杭州港,猪腩,2021,8,3415
杭州港,猪腩,2021,9,4374
杭州港,猪腩,2021,10,1693
杭州港,猪腩,2021,11,1940
杭州港,猪腩,2021,12,1944
杭州港,猪腩,2022,1,2753
杭州港,猪腩,2022,2,1589
杭州港,猪腩,2022,3,864
杭州港,猪腩,2022,4,980
杭州港,猪腩,2022,5,1445
杭州港,猪腩,2022,6,1452
杭州港,猪腩,2022,7,863
杭州港,猪腩,2022,8,357
杭州港,猪腩,2022,9,784
杭州港,猪腩,2022,10,1439
杭州港,猪腩,2022,11,794
杭州港,猪腩,2022,12,1255
杭州港,砂石,2020,1,3029
杭州港,砂石,2020,2,2299
杭州港,砂石,2020,3,2761
杭州港,砂石,2020,4,4237
杭州港,砂石,2020,5,2755
杭州港,砂石,2020,6,2060
杭州港,砂石,2020,7,3511
杭州港,砂石,2020,8,2745
杭州港,砂石,2020,9,4335
杭州港,砂石,2020,10,2541
杭州港,砂石,2020,11,2589
杭州港,砂石,2020,12,760
杭州港,砂石,2021,1,2585
杭州港,砂石,2021,2,2426
杭州港,砂石,2021,3,2049
杭州港,砂石,2021,4,2663
杭州港,砂石,2021,5,3179
杭州港,砂石,2021,6,2203
杭州港,砂石,2021,7,2764
杭州港,砂石,2021,8,2530
杭州港,砂石,2021,9,2133
杭州港,砂石,2021,10,1608
杭州港,砂石,2021,11,2787
杭州港,砂石,2021,12,3343
杭州港,砂石,2022,1,2654
杭州港,砂石,2022,2,2782
杭州港,砂石,2022,3,452
杭州港,砂石,2022,4,2954
杭州港,砂石,2022,5,957
杭州港,砂石,2022,6,3176
杭州港,砂石,2022,7,1257
杭州港,砂石,2022,8,1218
杭州港,砂石,2022,9,1642
杭州港,砂石,2022,10,2980
杭州港,砂石,2022,11,1491
杭州港,砂石,2022,12,966
杭州港,稻谷,2020,1,2117
杭州港,稻谷,2020,2,2534
杭州港,稻谷,2020,3,2126
杭州港,稻谷,2020,4,2273
杭州港,稻谷,2020,5,1433
杭州港,稻谷,2020,6,1452
杭州港,稻谷,2020,7,3518
杭州港,稻谷,2020,8,1916
杭州港,稻谷,2020,9,823
杭州港,稻谷,2020,10,2642
杭州港,稻谷,2020,11,2787
杭州港,稻谷,2020,12,2059
杭州港,稻谷,2021,1,1827
杭州港,稻谷,2021,2,3215
杭州港,稻谷,2021,3,2234
杭州港,稻谷,2021,4,2940
杭州港,稻谷,2021,5,3360
杭州港,稻谷,2021,6,2772
杭州港,稻谷,2021,7,1822
杭州港,稻谷,2021,8,1043
杭州港,稻谷,2021,9,1088
杭州港,稻谷,2021,10,2344
杭州港,稻谷,2021,11,1991
杭州港,稻谷,2021,12,2151
杭州港,稻谷,2022,1,2245
杭州港,稻谷,2022,2,1824
杭州港,稻谷,2022,3,1478
杭州港,稻谷,2022,4,2949
杭州港,稻谷,2022,5,1318
杭州港,稻谷,2022,6,3468
杭州港,稻谷,2022,7,1921
杭州港,稻谷,2022,8,1328
杭州港,稻谷,2022,9,2330
杭州港,稻谷,2022,10,2316
杭州港,稻谷,2022,11,1818
杭州港,稻谷,2022,12,1288
杭州港,茶叶,2020,1,1253
杭州港,茶叶,2020,2,3055
杭州港,茶叶,2020,3,982
杭州港,茶叶,2020,4,1651
杭州港,茶叶,2020,5,2333
杭州港,茶叶,2020,6,2853
杭州港,茶叶,2020,7,2928
杭州港,茶叶,2020,8,1331
杭州港,茶叶,2020,9,1941
杭州港,茶叶,2020,10,1784
杭州港,茶叶,2020,11,1830
杭州港,茶叶,2020,12,1990
杭州港,茶叶,2021,1,2903
杭州港,茶叶,2021,2,1194
杭州港,茶叶,2021,3,2344
杭州港,茶叶,2021,4,2061
杭州港,茶叶,2021,5,2494
杭州港,茶叶,2021,6,3049
杭州港,茶叶,2021,7,3456
杭州港,茶叶,2021,8,280
杭州港,茶叶,2021,9,2573
杭州港,茶叶,2021,10,2480
杭州港,茶叶,2021,11,159
杭州港,茶叶,2021,12,3391
杭州港,茶叶,2022,1,849
杭州港,茶叶,2022,2,413
杭州港,茶叶,2022,3,941
杭州港,茶叶,2022,4,1292
杭州港,茶叶,2022,5,2669
杭州港,茶叶,2022,6,69
杭州港,茶叶,2022,7,1154
杭州港,茶叶,2022,8,2705
杭州港,茶叶,2022,9,2600
杭州港,茶叶,2022,10,966
杭州港,茶叶,2022,11,1267
杭州港,茶叶,2022,12,507
杭州港,钢材,2020,1,929
杭州港,钢材,2020,2,2378
杭州港,钢材,2020,3,1721
杭州港,钢材,2020,4,1305
杭州港,钢材,2020,5,2189
杭州港,钢材,2020,6,1498
杭州港,钢材,2020,7,868
杭州港,钢材,2020,8,1881
杭州港,钢材,2020,9,1878
杭州港,钢材,2020,10,1543
杭州港,钢材,2020,11,1862
杭州港,钢材,2020,12,731
杭州港,钢材,2021,1,2432
杭州港,钢材,2021,2,2472
杭州港,钢材,2021,3,1017
杭州港,钢材,2021,4,1474
杭州港,钢材,2021,5,2844
杭州港,钢材,2021,6,1220
杭州港,钢材,2021,7,2337
杭州港,钢材,2021,8,2006
杭州港,钢材,2021,9,934
杭州港,钢材,2021,10,1049
杭州港,钢材,2021,11,3192
杭州港,钢材,2021,12,2983
杭州港,钢材,2022,1,1529
杭州港,钢材,2022,2,2083
杭州港,钢材,2022,3,2346
杭州港,钢材,2022,4,1150
杭州港,钢材,2022,5,909
杭州港,钢材,2022,6,2392
杭州港,钢材,2022,7,798
杭州港,钢材,2022,8,2294
杭州港,钢材,2022,9,2255
杭州港,钢材,2022,10,2649
杭州港,钢材,2022,11,1194
杭州港,钢材,2022,12,998
杭州港,铁矿石,2020,1,1247
杭州港,铁矿石,2020,2,1768
杭州港,铁矿石,2020,3,2697
杭州港,铁矿石,2020,4,3316
杭州港,铁矿石,2020,5,1832
杭州港,铁矿石,2020,6,3501
杭州港,铁矿石,2020,7,2387
杭州港,铁矿石,2020,8,2622
杭州港,铁矿石,2020,9,3699
杭州港,铁矿石,2020,10,2164
杭州港,铁矿石,2020,11,1806
杭州港,铁矿石,2020,12,2295
杭州港,铁矿石,2021,1,4304
杭州港,铁矿石,2021,2,2405
杭州港,铁矿石,2021,3,2795
杭州港,铁矿石,2021,4,1979
杭州港,铁矿石,2021,5,1496
杭州港,铁矿石,2021,6,3927
杭州港,铁矿石,2021,7,1274
杭州港,铁矿石,2021,8,3250
杭州港,铁矿石,2021,9,3199
杭州港,铁矿石,2021,10,2492
杭州港,铁矿石,2021,11,2804
杭州港,铁矿石,2021,12,2489
杭州港,铁矿石,2022,1,1617
杭州港,铁矿石,2022,2,1659
杭州港,铁矿石,2022,3,657
杭州港,铁矿石,2022,4,1209
杭州港,铁矿石,2022,5,1620
杭州港,铁矿石,2022,6,1839
杭州港,铁矿石,2022,7,1783
杭州港,铁矿石,2022,8,1728
杭州港,铁矿石,2022,9,1053
杭州港,铁矿石,2022,10,1010
杭州港,铁矿石,2022,11,1679
杭州港,铁矿石,2022,12,2286
杭州港,铜,2020,1,2361
杭州港,铜,2020,2,2768
杭州港,铜,2020,3,5587
杭州港,铜,2020,4,3067
杭州港,铜,2020,5,2714
杭州港,铜,2020,6,1887
杭州港,铜,2020,7,1614
杭州港,铜,2020,8,2034
杭州港,铜,2020,9,2274
杭州港,铜,2020,10,2579
杭州港,铜,2020,11,1541
杭州港,铜,2020,12,2355
杭州港,铜,2021,1,1259
杭州港,铜,2021,2,1059
杭州港,铜,2021,3,2914
杭州港,铜,2021,4,2447
杭州港,铜,2021,5,2345
杭州港,铜,2021,6,2575
杭州港,铜,2021,7,2678
杭州港,铜,2021,8,2012
杭州港,铜,2021,9,4260
杭州港,铜,2021,10,1255
杭州港,铜,2021,11,2443
杭州港,铜,2021,12,2540
杭州港,铜,2022,1,1589
杭州港,铜,2022,2,1584
杭州港,铜,2022,3,1457
杭州港,铜,2022,4,283
杭州港,铜,2022,5,1512
杭州港,铜,2022,6,1305
杭州港,铜,2022,7,1968
杭州港,铜,2022,8,1937
杭州港,铜,2022,9,1821
杭州港,铜,2022,10,3170
杭州港,铜,2022,11,832
杭州港,铜,2022,12,705
杭州港,黑麦,2020,1,1812
杭州港,黑麦,2020,2,1344
杭州港,黑麦,2020,3,1606
杭州港,黑麦,2020,4,882
杭州港,黑麦,2020,5,1804
杭州港,黑麦,2020,6,1103
杭州港,黑麦,2020,7,2408
杭州港,黑麦,2020,8,454
杭州港,黑麦,2020,9,2229
杭州港,黑麦,2020,10,1284
杭州港,黑麦,2020,11,1701
杭州港,黑麦,2020,12,689
杭州港,黑麦,2021,1,2610
杭州港,黑麦,2021,2,1886
杭州港,黑麦,2021,3,1535
杭州港,黑麦,2021,4,1720
杭州港,黑麦,2021,5,3412
杭州港,黑麦,2021,6,1274
杭州港,黑麦,2021,7,432
杭州港,黑麦,2021,8,3298
杭州港,黑麦,2021,9,1668
杭州港,黑麦,2021,10,3078
杭州港,黑麦,2021,11,3351
杭州港,黑麦,2021,12,2928
杭州港,黑麦,2022,1,1900
杭州港,黑麦,2022,2,1445
杭州港,黑麦,2022,3,2082
杭州港,黑麦,2022,4,1568
杭州港,黑麦,2022,5,1275
杭州港,黑麦,2022,6,1292
杭州港,黑麦,2022,7,1180
杭州港,黑麦,2022,8,2232
杭州港,黑麦,2022,9,1319
杭州港,黑麦,2022,10,979
杭州港,黑麦,2022,11,3401
杭州港,黑麦,2022,12,944
泰州港,三钙,2020,1,5275
泰州港,三钙,2020,2,1297
泰州港,三钙,2020,3,2341
泰州港,三钙,2020,4,2798
泰州港,三钙,2020,5,1003
泰州港,三钙,2020,6,1208
泰州港,三钙,2020,7,2576
泰州港,三钙,2020,8,2023
泰州港,三钙,2020,9,1102
泰州港,三钙,2020,10,2745
泰州港,三钙,2020,11,2953
泰州港,三钙,2020,12,1073
泰州港,三钙,2021,1,1708
泰州港,三钙,2021,2,4177
泰州港,三钙,2021,3,1676
泰州港,三钙,2021,4,2889
泰州港,三钙,2021,5,1566
泰州港,三钙,2021,6,1698
泰州港,三钙,2021,7,1172
泰州港,三钙,2021,8,1339
泰州港,三钙,2021,9,4149
泰州港,三钙,2021,10,3548
泰州港,三钙,2021,11,3614
泰州港,三钙,2021,12,3428
泰州港,三钙,2022,1,2643
泰州港,三钙,2022,2,1994
泰州港,三钙,2022,3,1208
泰州港,三钙,2022,4,2550
泰州港,三钙,2022,5,2075
泰州港,三钙,2022,6,1113
泰州港,三钙,2022,7,2680
泰州港,三钙,2022,8,1737
泰州港,三钙,2022,9,4010
泰州港,三钙,2022,10,1739
泰州港,三钙,2022,11,2993
泰州港,三钙,2022,12,1937
泰州港,单氟磷酸钠,2020,1,1828
泰州港,单氟磷酸钠,2020,2,2815
泰州港,单氟磷酸钠,2020,3,1977
泰州港,单氟磷酸钠,2020,4,1796
泰州港,单氟磷酸钠,2020,5,2358
泰州港,单氟磷酸钠,2020,6,1547
泰州港,单氟磷酸钠,2020,7,3240
泰州港,单氟磷酸钠,2020,8,3638
泰州港,单氟磷酸钠,2020,9,1955
泰州港,单氟磷酸钠,2020,10,1324
泰州港,单氟磷酸钠,2020,11,1812
泰州港,单氟磷酸钠,2020,12,2378
泰州港,单氟磷酸钠,2021,1,2286
泰州港,单氟磷酸钠,2021,2,3574
泰州港,单氟磷酸钠,2021,3,1923
泰州港,单氟磷酸钠,2021,4,2047
泰州港,单氟磷酸钠,2021,5,2748
泰州港,单氟磷酸钠,2021,6,2758
泰州港,单氟磷酸钠,2021,7,1305
泰州港,单氟磷酸钠,2021,8,2703
泰州港,单氟磷酸钠,2021,9,3269
泰州港,单氟磷酸钠,2021,10,2014
泰州港,单氟磷酸钠,2021,11,1186
泰州港,单氟磷酸钠,2021,12,2113
泰州港,单氟磷酸钠,2022,1,913
泰州港,单氟磷酸钠,2022,2,2289
泰州港,单氟磷酸钠,2022,3,2980
泰州港,单氟磷酸钠,2022,4,2195
泰州港,单氟磷酸钠,2022,5,1499
泰州港,单氟磷酸钠,2022,6,3521
泰州港,单氟磷酸钠,2022,7,3207
泰州港,单氟磷酸钠,2022,8,2908
泰州港,单氟磷酸钠,2022,9,1068
泰州港,单氟磷酸钠,2022,10,1597
泰州港,单氟磷酸钠,2022,11,901
泰州港,单氟磷酸钠,2022,12,2444
泰州港,原油,2020,1,3944
泰州港,原油,2020,2,1416
泰州港,原油,2020,3,3735
泰州港,原油,2020,4,1075
泰州港,原油,2020,5,1376
泰州港,原油,2020,6,866
泰州港,原油,2020,7,1287
泰州港,原油,2020,8,1737
泰州港,原油,2020,9,1853
泰州港,原油,2020,10,1958
泰州港,原油,2020,11,1837
泰州港,原油,2020,12,1415
泰州港,原油,2021,1,1127
泰州港,原油,2021,2,2724
泰州港,原油,2021,3,796
泰州港,原油,2021,4,1917
泰州港,原油,2021,5,488
泰州港,原油,2021,6,2640
泰州港,原油,2021,7,3053
泰州港,原油,2021,8,963
泰州港,原油,2021,9,1069
泰州港,原油,2021,10,2396
泰州港,原油,2021,11,3080
泰州港,原油,2021,12,434
泰州港,原油,2022,1,3956
泰州港,原油,2022,2,2421
泰州港,原油,2022,3,515
泰州港,原油,2022,4,2741
泰州港,原油,2022,5,2083
泰州港,原油,2022,6,2612
泰州港,原油,2022,7,372
泰州港,原油,2022,8,1348
泰州港,原油,2022,9,3383
泰州港,原油,2022,10,2939
泰州港,原油,2022,11,2489
泰州港,原油,2022,12,3083
泰州港,原煤,2020,1,2335
泰州港,原煤,2020,2,3034
泰州港,原煤,2020,3,2284
泰州港,原煤,2020,4,1257
泰州港,原煤,2020,5,1338
泰州港,原煤,2020,6,2975
泰州港,原煤,2020,7,2575
泰州港,原煤,2020,8,2629
泰州港,原煤,2020,9,2181
泰州港,原煤,2020,10,3295
泰州港,原煤,2020,11,1540
泰州港,原煤,2020,12,3883
泰州港,原煤,2021,1,1503
泰州港,原煤,2021,2,1283
泰州港,原煤,2021,3,1307
泰州港,原煤,2021,4,2958
泰州港,原煤,2021,5,1910
泰州港,原煤,2021,6,1994
泰州港,原煤,2021,7,2055
泰州港,原煤,2021,8,2463
泰州港,原煤,2021,9,1616
泰州港,原煤,2021,10,1680
泰州港,原煤,2021,11,566
泰州港,原煤,2021,12,3642
泰州港,原煤,2022,1,1917
泰州港,原煤,2022,2,673
泰州港,原煤,2022,3,2062
泰州港,原煤,2022,4,2627
泰州港,原煤,2022,5,2526
泰州港,原煤,2022,6,1004
泰州港,原煤,2022,7,1485
泰州港,原煤,2022,8,2666
泰州港,原煤,2022,9,3348
泰州港,原煤,2022,10,1627
泰州港,原煤,2022,11,2117
泰州港,原煤,2022,12,2869
泰州港,大豆,2020,1,2069
泰州港,大豆,2020,2,2761
泰州港,大豆,2020,3,2236
泰州港,大豆,2020,4,1874
泰州港,大豆,2020,5,4228
泰州港,大豆,2020,6,1354
泰州港,大豆,2020,7,697
泰州港,大豆,2020,8,1992
泰州港,大豆,2020,9,992
泰州港,大豆,2020,10,2569
泰州港,大豆,2020,11,1036
泰州港,大豆,2020,12,2395
泰州港,大豆,2021,1,3392
泰州港,大豆,2021,2,1529
泰州港,大豆,2021,3,3106
泰州港,大豆,2021,4,2829
泰州港,大豆,2021,5,879
泰州港,大豆,2021,6,3025
泰州港,大豆,2021,7,1848
泰州港,大豆,2021,8,4113
泰州港,大豆,2021,9,405
泰州港,大豆,2021,10,1736
泰州港,大豆,2021,11,2587
泰州港,大豆,2021,12,2674
泰州港,大豆,2022,1,2382
泰州港,大豆,2022,2,2598
泰州港,大豆,2022,3,518
泰州港,大豆,2022,4,3223
泰州港,大豆,2022,5,1464
泰州港,大豆,2022,6,2413
泰州港,大豆,2022,7,1951
泰州港,大豆,2022,8,2846
泰州港,大豆,2022,9,2716
泰州港,大豆,2022,10,1762
泰州港,大豆,2022,11,2840
泰州港,大豆,2022,12,2511
泰州港,大豆油,2020,1,1407
泰州港,大豆油,2020,2,2718
泰州港,大豆油,2020,3,1181
泰州港,大豆油,2020,4,2855
泰州港,大豆油,2020,5,3012
泰州港,大豆油,2020,6,3564
泰州港,大豆油,2020,7,2019
泰州港,大豆油,2020,8,1378
泰州港,大豆油,2020,9,3288
泰州港,大豆油,2020,10,1050
泰州港,大豆油,2020,11,1686
泰州港,大豆油,2020,12,1039
泰州港,大豆油,2021,1,1344
泰州港,大豆油,2021,2,1744
泰州港,大豆油,2021,3,2114
泰州港,大豆油,2021,4,2294
泰州港,大豆油,2021,5,1023
泰州港,大豆油,2021,6,829
泰州港,大豆油,2021,7,2234
泰州港,大豆油,2021,8,3556
泰州港,大豆油,2021,9,1950
泰州港,大豆油,2021,10,2957
泰州港,大豆油,2021,11,2481
泰州港,大豆油,2021,12,3024
泰州港,大豆油,2022,1,1922
泰州港,大豆油,2022,2,4728
泰州港,大豆油,2022,3,3027
泰州港,大豆油,2022,4,7189
泰州港,大豆油,2022,5,1137
泰州港,大豆油,2022,6,3449
泰州港,大豆油,2022,7,1931
泰州港,大豆油,2022,8,4269
泰州港,大豆油,2022,9,1214
泰州港,大豆油,2022,10,2544
泰州港,大豆油,2022,11,1987
泰州港,大豆油,2022,12,1273
泰州港,大豆粉,2020,2,3175
泰州港,大豆粉,2020,3,2091
泰州港,大豆粉,2020,4,2447
泰州港,大豆粉,2020,5,3114
泰州港,大豆粉,2020,6,1994
泰州港,大豆粉,2020,7,1431
泰州港,大豆粉,2020,8,993
泰州港,大豆粉,2020,9,681
泰州港,大豆粉,2020,10,3623
泰州港,大豆粉,2020,11,2200
泰州港,大豆粉,2020,12,1549
泰州港,大豆粉,2021,1,2992
泰州港,大豆粉,2021,2,3772
泰州港,大豆粉,2021,3,1710
泰州港,大豆粉,2021,4,1209
泰州港,大豆粉,2021,5,586
泰州港,大豆粉,2021,6,2098
泰州港,大豆粉,2021,7,1895
泰州港,大豆粉,2021,8,2056
泰州港,大豆粉,2021,9,1356
泰州港,大豆粉,2021,10,3656
泰州港,大豆粉,2021,11,1073
泰州港,大豆粉,2021,12,2352
泰州港,大豆粉,2022,1,2278
泰州港,大豆粉,2022,2,1955
泰州港,大豆粉,2022,3,1751
泰州港,大豆粉,2022,4,4493
泰州港,大豆粉,2022,5,2541
泰州港,大豆粉,2022,6,3108
泰州港,大豆粉,2022,7,1887
泰州港,大豆粉,2022,8,1281
泰州港,大豆粉,2022,9,2985
泰州港,大豆粉,2022,10,1618
泰州港,大豆粉,2022,11,1504
泰州港,大豆粉,2022,12,1296
泰州港,大麦,2020,1,1210
泰州港,大麦,2020,2,3225
泰州港,大麦,2020,3,2326
泰州港,大麦,2020,4,2187
泰州港,大麦,2020,5,2441
泰州港,大麦,2020,6,3129
泰州港,大麦,2020,7,2395
泰州港,大麦,2020,8,1402
泰州港,大麦,2020,9,952
泰州港,大麦,2020,10,1412
泰州港,大麦,2020,11,1288
泰州港,大麦,2020,12,3256
泰州港,大麦,2021,1,2053
泰州港,大麦,2021,2,3608
泰州港,大麦,2021,3,910
泰州港,大麦,2021,4,1621
泰州港,大麦,2021,5,3120
